Event,Date,Symbol,Price,Quantity,Currency,FeeTax,Exchange,FeeCurrency,DoNotAdjustCash,Note
BUY,2025-03-26 03:00:00,SPYI,"53.87319547","0.019947",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (2.019947 shares) does not match the imported transaction balance (2.000000000000000000 shares), due to sync limitations."
CASH_IN,2025-03-26 03:00:00,USD,"1","783.30929319",USD,"0",,"","False","Automatically generated transaction to adjust cash balance, since the balance reported by broker (19.17) does not match the imported transaction balance (-764.14), due to sync limitations."
BUY,2025-03-26 03:00:00,XDTE,"41.33334094","0.003508",USD,"0",BATS,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.007543 shares) does not match the imported transaction balance (1.004035000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,XRPM,"13.679","-32",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1 shares) does not match the imported transaction balance (33.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,YMAG,"12.93145883","0.009302",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.032522 shares) does not match the imported transaction balance (1.023220000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,YMAX,"8.80365619","0.010273",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.031487 shares) does not match the imported transaction balance (1.021214000000000000 shares), due to sync limitations."
FEE,2025-04-25 03:00:00,,"0","0",USD,"5",,"","False","Robinhood Gold monthly fee of $5.00."
FEE,2025-05-25 03:00:00,,"0","0",USD,"5",,"","False","Robinhood Gold monthly fee of $5.00."
FEE,2025-06-24 03:00:00,,"0","0",USD,"5",,"","False","Robinhood Gold monthly fee of $5.00."
FEE,2025-07-24 03:00:00,,"0","0",USD,"5",,"","False","Robinhood Gold monthly fee of $5.00."
FEE,2025-08-17 03:00:00,,"0","0",USD,"50",,"","False","Robinhood Gold monthly fee of $50.00."
BUY,2026-05-09 03:00:00,CHPY,"75.95","1",USD,"0",US,"","False","buy 1.000000 shares of CHPY for $75.95 each"
BUY,2026-05-09 03:00:00,KCOP,"25.27","1",USD,"0",NYSE,"","False","buy 1.000000 shares of KCOP for $25.27 each"
CASH_IN,2026-05-09 03:00:00,USD,"1","625",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $625.00"
BUY,2026-05-09 03:00:00,YMAX,"8.72","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of YMAX for $8.72 each"
BUY,2026-05-11 03:00:00,BTCI,"37.625","1",USD,"0",US,"","False","buy 1.000000 shares of BTCI for $37.62 each"
BUY,2026-05-11 03:00:00,JEPI,"55.945","1",USD,"0",US,"","False","buy 1.000000 shares of JPMorgan Equity Premium Income for $55.94 each"
BUY,2026-05-11 03:00:00,JEPQ,"59.6699","1",USD,"0",NASDAQ,"","False","buy 1.000000 shares of JEPQ for $59.67 each"
BUY,2026-05-11 03:00:00,QDTE,"31.455","1",USD,"0",BATS,"","False","buy 1.000000 shares of QDTE for $31.46 each"
BUY,2026-05-11 03:00:00,QQQI,"56.575","1",USD,"0",US,"","False","buy 1.000000 shares of QQQI for $56.58 each"
BUY,2026-05-11 03:00:00,SPYI,"53.49","1",USD,"0",US,"","False","buy 1.000000 shares of SPYI for $53.49 each"
BUY,2026-05-11 03:00:00,XDTE,"39.765","1",USD,"0",BATS,"","False","buy 1.000000 shares of XDTE for $39.76 each"
BUY,2026-05-11 03:00:00,XPAY,"54.6","1",USD,"0",US,"","False","buy 1.000000 shares of XPAY for $54.60 each"
BUY,2026-05-11 03:00:00,XRPM,"14.92","1",USD,"0",US,"","False","buy 1.000000 shares of XRPM for $14.92 each"
BUY,2026-05-11 03:00:00,YMAG,"13.05","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of YMAG for $13.05 each"
BUY,2026-05-12 03:00:00,BTCI,"37.445","1",USD,"0",US,"","False","buy 1.000000 shares of BTCI for $37.44 each"
BUY,2026-05-12 03:00:00,SPYI,"53.345","1",USD,"0",US,"","False","buy 1.000000 shares of SPYI for $53.34 each"
DIVIDEND,2026-05-14 03:00:00,CHPY,"0","0.66",USD,"0",US,"","False","Cash dividend of $0.66 from CHPY"
BUY,2026-05-14 03:00:00,CHPY,"73.5","0.00898",USD,"0",US,"","False","Dividend reinvestment purchase of 0.009 shares of CHPY for $0.66 total."
BUY,2026-05-14 03:00:00,CLSE,"33.2798","1",USD,"0",BATS,"","False","buy 1.000000 shares of CLSE for $33.28 each"
BUY,2026-05-14 03:00:00,GDXY,"13.275","0.378907",USD,"0",NYSE ARCA,"","False","buy 0.378907 shares of GDXY for $13.28 each"
BUY,2026-05-14 03:00:00,GDXY,"13.275","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of GDXY for $13.28 each"
BUY,2026-05-14 03:00:00,KCOP,"24.08","0.012459",USD,"0",NYSE,"","False","Dividend reinvestment purchase of 0.012 shares of KCOP for $0.30 total."
DIVIDEND,2026-05-14 03:00:00,KCOP,"0","0.3",USD,"0",NYSE,"","False","Cash dividend of $0.30 from KCOP"
BUY,2026-05-14 03:00:00,MLPI,"57.565","1",USD,"0",NYSE,"","False","buy 1.000000 shares of MLPI for $57.56 each"
BUY,2026-05-14 03:00:00,ORR,"37.16","1",USD,"0",US,"","False","buy 1.000000 shares of ORR for $37.16 each"
BUY,2026-05-14 03:00:00,SMCY,"6.42","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of SMCY for $6.42 each"
BUY,2026-05-14 03:00:00,TDAQ,"28.515","1",USD,"0",US,"","False","buy 1.000000 shares of TDAQ for $28.52 each"
BUY,2026-05-14 03:00:00,TSPY,"25.88","1",USD,"0",US,"","False","buy 1.000000 shares of TappAlpha S&P 500 Growth & Daily Income ETF for $25.88 each"
CASH_IN,2026-05-14 03:00:00,USD,"1","200",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $200.00"
BUY,2026-05-14 03:00:00,XPAY,"53.8","0.01673",USD,"0",US,"","False","Dividend reinvestment purchase of 0.017 shares of XPAY for $0.90 total."
DIVIDEND,2026-05-14 03:00:00,XPAY,"0","0.9",USD,"0",US,"","False","Cash dividend of $0.90 from XPAY"
DIVIDEND,2026-05-14 03:00:00,YMAG,"0","0.15",USD,"0",NYSE ARCA,"","False","Cash dividend of $0.15 from YMAG"
BUY,2026-05-14 03:00:00,YMAG,"12.99","0.011547",USD,"0",NYSE ARCA,"","False","Dividend reinvestment purchase of 0.012 shares of YMAG for $0.15 total."
BUY,2026-05-14 03:00:00,YMAX,"8.48","0.010613",USD,"0",NYSE ARCA,"","False","Dividend reinvestment purchase of 0.011 shares of YMAX for $0.09 total."
DIVIDEND,2026-05-14 03:00:00,YMAX,"0","0.09",USD,"0",NYSE ARCA,"","False","Cash dividend of $0.09 from YMAX"
DIVIDEND,2026-05-15 03:00:00,GDXY,"0","5.1",USD,"0",NYSE ARCA,"","False","Cash dividend of $5.10 from GDXY"
BUY,2026-05-15 03:00:00,GDXY,"12.59","0.405244",USD,"0",NYSE ARCA,"","False","Dividend reinvestment purchase of 0.405 shares of GDXY for $5.10 total."
DIVIDEND,2026-05-15 03:00:00,QDTE,"0","0.42",USD,"0",BATS,"","False","Cash dividend of $0.42 from QDTE"
BUY,2026-05-15 03:00:00,QDTE,"31.22","0.013452",USD,"0",BATS,"","False","Dividend reinvestment purchase of 0.013 shares of QDTE for $0.42 total."
BUY,2026-05-15 03:00:00,XDTE,"39.65","0.004035",USD,"0",BATS,"","False","Dividend reinvestment purchase of 0.004 shares of XDTE for $0.16 total."
DIVIDEND,2026-05-15 03:00:00,XDTE,"0","0.16",USD,"0",BATS,"","False","Cash dividend of $0.16 from XDTE"
BUY,2026-05-20 03:00:00,AMZY,"12.145","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of AMZY for $12.14 each"
BUY,2026-05-20 03:00:00,APLY,"12.6","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of APLY for $12.60 each"
BUY,2026-05-20 03:00:00,FBY,"10.01","1",USD,"0",US,"","False","buy 1.000000 shares of FBY for $10.01 each"
BUY,2026-05-20 03:00:00,GDXY,"12.25","28",USD,"0",NYSE ARCA,"","False","buy 28.000000 shares of GDXY for $12.25 each"
BUY,2026-05-20 03:00:00,NFLY,"9.75","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of NFLY for $9.75 each"
BUY,2026-05-20 03:00:00,NVDY,"14.38","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of NVDY for $14.38 each"
DIVIDEND,2026-05-20 03:00:00,TDAQ,"0","0.38",USD,"0",US,"","False","Cash dividend of $0.38 from TDAQ"
BUY,2026-05-20 03:00:00,TDAQ,"27.77","0.013683",USD,"0",US,"","False","Dividend reinvestment purchase of 0.014 shares of TDAQ for $0.38 total."
CASH_IN,2026-05-20 03:00:00,USD,"1","360",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $360.00"
CASH_IN,2026-05-20 03:00:00,USD,"1","46",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $46.00"
CASH_IN,2026-05-20 03:00:00,USD,"1","15",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $15.00"
DIVIDEND,2026-05-21 03:00:00,CHPY,"0","0.65",USD,"0",US,"","False","Cash dividend of $0.65 from CHPY"
BUY,2026-05-21 03:00:00,CHPY,"77.01","0.008441",USD,"0",US,"","False","Dividend reinvestment purchase of 0.008 shares of CHPY for $0.65 total."
BUY,2026-05-21 03:00:00,SMCY,"6.35","3",USD,"0",NYSE ARCA,"","False","buy 3.000000 shares of SMCY for $6.35 each"
BUY,2026-05-21 03:00:00,YMAG,"12.85","0.011673",USD,"0",NYSE ARCA,"","False","Dividend reinvestment purchase of 0.012 shares of YMAG for $0.15 total."
DIVIDEND,2026-05-21 03:00:00,YMAG,"0","0.15",USD,"0",NYSE ARCA,"","False","Cash dividend of $0.15 from YMAG"
BUY,2026-05-21 03:00:00,YMAX,"8.49","0.010601",USD,"0",NYSE ARCA,"","False","Dividend reinvestment purchase of 0.011 shares of YMAX for $0.09 total."
DIVIDEND,2026-05-21 03:00:00,YMAX,"0","0.09",USD,"0",NYSE ARCA,"","False","Cash dividend of $0.09 from YMAX"
BUY,2026-05-22 03:00:00,GDXY,"12.015","0.357652",USD,"0",NYSE ARCA,"","False","buy 0.357652 shares of GDXY for $12.02 each"
BUY,2026-05-22 03:00:00,GOOY,"14.79","1",USD,"0",NYSE ARCA,"","False","buy 1.000000 shares of GOOY for $14.79 each"
BUY,2026-05-22 03:00:00,SMCY,"6.59","1.280728",USD,"0",NYSE ARCA,"","False","buy 1.280728 shares of SMCY for $6.59 each"
BUY,2026-05-22 03:00:00,SMCY,"6.53","13",USD,"0",NYSE ARCA,"","False","buy 13.000000 shares of SMCY for $6.53 each"
BUY,2026-05-22 03:00:00,SMCY,"6.555","48",USD,"0",NYSE ARCA,"","False","buy 48.000000 shares of SMCY for $6.56 each"
CASH_IN,2026-05-22 03:00:00,USD,"1","87",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $87.00"
CASH_IN,2026-05-22 03:00:00,USD,"1","15",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $15.00"
CASH_IN,2026-05-22 03:00:00,USD,"1","300",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $300.00"
CASH_IN,2026-05-22 03:00:00,USD,"1","25",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $25.00"
BUY,2026-05-25 00:00:00,XRPM,"13.679","32",USD,"0",US,"USD","False",""
CASH_IN,2026-05-25 03:00:00,USD,"1","440",USD,"0",,"","False","Transfer from Robinhood Brokerage account ending in 5558 of $440.00"
CASH_OUT,2026-05-26 03:00:00,USD,"1","440",USD,"0",,"","False","Transfer to Robinhood Brokerage account ending in 5558 of $440.00"
